t,ke,pe,ke_err,pe_err
0,6.35602523e-05,-3.22000198e-06,0.00000000e+00,0.00000000e+00
1,6.35840971e-05,-3.21939617e-06,3.75152447e-04,1.88139538e-04
2,6.36076738e-05,-3.21878416e-06,7.46086966e-04,3.78203590e-04
3,6.36307056e-05,-3.21815897e-06,1.10844908e-03,5.72364101e-04
4,6.36529184e-05,-3.21751366e-06,1.45792468e-03,7.72769018e-04
5,6.36740416e-05,-3.21684144e-06,1.79025752e-03,9.81533575e-04
6,6.36938094e-05,-3.21613562e-06,2.10126683e-03,1.20073157e-03
7,6.37119621e-05,-3.21538969e-06,2.38686483e-03,1.43238670e-03
8,6.37282468e-05,-3.21459732e-06,2.64307402e-03,1.67846399e-03
9,6.37424188e-05,-3.21375240e-06,2.86604442e-03,1.94086131e-03
10,6.37542427e-05,-3.21284906e-06,3.05207025e-03,2.22140116e-03
11,6.37634930e-05,-3.21188171e-06,3.19760631e-03,2.52182266e-03
12,6.37699556e-05,-3.21084502e-06,3.29928369e-03,2.84377381e-03
13,6.37734287e-05,-3.20973402e-06,3.35392486e-03,3.18880418e-03
14,6.37737231e-05,-3.20854406e-06,3.35855788e-03,3.55835797e-03
15,6.37706641e-05,-3.20727084e-06,3.31042977e-03,3.95376755e-03
16,6.37640913e-05,-3.20591045e-06,3.20701883e-03,4.37624754e-03
17,6.37538598e-05,-3.20445939e-06,3.04604583e-03,4.82688942e-03
18,6.37398408e-05,-3.20291453e-06,2.82548400e-03,5.30665679e-03
19,6.37219222e-05,-3.20127322e-06,2.54356779e-03,5.81638127e-03
20,6.37000086e-05,-3.19953320e-06,2.19880016e-03,6.35675909e-03
21,6.36740226e-05,-3.19769268e-06,1.78995855e-03,6.92834839e-03
22,6.36439040e-05,-3.19575032e-06,1.31609937e-03,7.53156722e-03
23,6.36096108e-05,-3.19370521e-06,7.76560947e-04,8.16669239e-03
24,6.35711189e-05,-3.19155694e-06,1.70964981e-04,8.83385896e-03
25,6.35284224e-05,-3.18930551e-06,5.00783509e-04,9.53306057e-03
26,6.34815331e-05,-3.18695140e-06,1.23849779e-03,1.02641505e-02
27,6.34304806e-05,-3.18449552e-06,2.04171251e-03,1.10268435e-02
28,6.33753118e-05,-3.18193924e-06,2.90968823e-03,1.18207183e-02
29,6.33160909e-05,-3.17928434e-06,3.84141744e-03,1.26452209e-02
30,6.32528984e-05,-3.17653302e-06,4.83563186e-03,1.34996682e-02
31,6.31858309e-05,-3.17368788e-06,5.89081108e-03,1.43832531e-02
32,6.31150005e-05,-3.17075189e-06,7.00519239e-03,1.52950490e-02
33,6.30405340e-05,-3.16772842e-06,8.17678170e-03,1.62340159e-02
34,6.29625721e-05,-3.16462115e-06,9.40336555e-03,1.71990064e-02
35,6.28812684e-05,-3.16143410e-06,1.06825240e-02,1.81887723e-02
36,6.27967892e-05,-3.15817159e-06,1.20116441e-02,1.92019715e-02
37,6.27093118e-05,-3.15483823e-06,1.33879347e-02,2.02371757e-02
38,6.26190241e-05,-3.15143887e-06,1.48084411e-02,2.12928775e-02
39,6.25261232e-05,-3.14797859e-06,1.62700602e-02,2.23674985e-02
40,6.24308148e-05,-3.14446267e-06,1.77695568e-02,2.34593972e-02
41,6.23333120e-05,-3.14089659e-06,1.93035795e-02,2.45668768e-02
42,6.22338340e-05,-3.13728594e-06,2.08686762e-02,2.56881939e-02
43,6.21326057e-05,-3.13363648e-06,2.24613111e-02,2.68215659e-02
44,6.20298562e-05,-3.12995405e-06,2.40778801e-02,2.79651795e-02
45,6.19258178e-05,-3.12624454e-06,2.57147270e-02,2.91171984e-02
46,6.18207253e-05,-3.12251394e-06,2.73681588e-02,3.02757713e-02
47,6.17148146e-05,-3.11876821e-06,2.90344614e-02,3.14390392e-02
48,6.16083224e-05,-3.11501335e-06,3.07099142e-02,3.26051431e-02
49,6.15014846e-05,-3.11125533e-06,3.23908044e-02,3.37722309e-02
50,6.13945358e-05,-3.10750006e-06,3.40734410e-02,3.49384642e-02
51,6.12877084e-05,-3.10375339e-06,3.57541681e-02,3.61020253e-02
52,6.11812317e-05,-3.10002109e-06,3.74293775e-02,3.72611229e-02
53,6.10753312e-05,-3.09630883e-06,3.90955208e-02,3.84139984e-02
54,6.09702280e-05,-3.09262214e-06,4.07491205e-02,3.95589313e-02
55,6.08661378e-05,-3.08896643e-06,4.23867811e-02,4.06942444e-02
56,6.07632708e-05,-3.08534694e-06,4.40051987e-02,4.18183087e-02
57,6.06618304e-05,-3.08176875e-06,4.56011705e-02,4.29295482e-02
58,6.05620133e-05,-3.07823674e-06,4.71716031e-02,4.40264436e-02
59,6.04640087e-05,-3.07475562e-06,4.87135208e-02,4.51075363e-02
60,6.03679976e-05,-3.07132988e-06,5.02240726e-02,4.61714321e-02
61,6.02741531e-05,-3.06796378e-06,5.17005386e-02,4.72168040e-02
62,6.01826392e-05,-3.06466137e-06,5.31403364e-02,4.82423954e-02
63,6.00936110e-05,-3.06142647e-06,5.45410256e-02,4.92470222e-02
64,6.00072143e-05,-3.05826265e-06,5.59003135e-02,5.02295754e-02
65,5.99235852e-05,-3.05517322e-06,5.72160584e-02,5.11890229e-02
66,5.98428500e-05,-3.05216127e-06,5.84862735e-02,5.21244109e-02
67,5.97651250e-05,-3.04922961e-06,5.97091299e-02,5.30348659e-02
68,5.96905161e-05,-3.04638078e-06,6.08829593e-02,5.39195950e-02
69,5.96191191e-05,-3.04361707e-06,6.20062558e-02,5.47778879e-02
70,5.95510192e-05,-3.04094052e-06,6.30776780e-02,5.56091164e-02
71,5.94862913e-05,-3.03835286e-06,6.40960496e-02,5.64127360e-02
72,5.94249994e-05,-3.03585559e-06,6.50603609e-02,5.71882854e-02
73,5.93671972e-05,-3.03344992e-06,6.59697686e-02,5.79353870e-02
74,5.93129277e-05,-3.03113680e-06,6.68235966e-02,5.86537470e-02
75,5.92622232e-05,-3.02891691e-06,6.76213351e-02,5.93431545e-02
76,5.92151056e-05,-3.02679065e-06,6.83626407e-02,6.00034819e-02
77,5.91715863e-05,-3.02475818e-06,6.90473350e-02,6.06346840e-02
78,5.91316661e-05,-3.02281937e-06,6.96754037e-02,6.12367972e-02
79,5.90953356e-05,-3.02097385e-06,7.02469953e-02,6.18099390e-02
80,5.90625751e-05,-3.01922099e-06,7.07624193e-02,6.23543071e-02
81,5.90333549e-05,-3.01755988e-06,7.12221443e-02,6.28701777e-02
82,5.90076351e-05,-3.01598940e-06,7.16267955e-02,6.33579052e-02
83,5.89853663e-05,-3.01450815e-06,7.19771530e-02,6.38179202e-02
84,5.89664893e-05,-3.01311451e-06,7.22741481e-02,6.42507284e-02
85,5.89509352e-05,-3.01180661e-06,7.25188612e-02,6.46569090e-02
86,5.89386264e-05,-3.01058235e-06,7.27125179e-02,6.50371127e-02
87,5.89294757e-05,-3.00943942e-06,7.28564860e-02,6.53920603e-02
88,5.89233875e-05,-3.00837527e-06,7.29522717e-02,6.57225406e-02
89,5.89202576e-05,-3.00738716e-06,7.30015152e-02,6.60294081e-02
90,5.89199734e-05,-3.00647212e-06,7.30059868e-02,6.63135810e-02
91,5.89224144e-05,-3.00562700e-06,7.29675821e-02,6.65760387e-02
92,5.89274525e-05,-3.00484847e-06,7.28883174e-02,6.68178197e-02
93,5.89349522e-05,-3.00413299e-06,7.27703242e-02,6.70400182e-02
94,5.89447710e-05,-3.00347687e-06,7.26158440e-02,6.72437820e-02
95,5.89567598e-05,-3.00287625e-06,7.24272224e-02,6.74303091e-02
96,5.89707634e-05,-3.00232713e-06,7.22069029e-02,6.76008450e-02
97,5.89866205e-05,-3.00182534e-06,7.19574208e-02,6.77566788e-02
98,5.90041647e-05,-3.00136661e-06,7.16813963e-02,6.78991407e-02
99,5.90232244e-05,-3.00094654e-06,7.13815275e-02,6.80295975e-02
100,5.90436238e-05,-3.00056062e-06,7.10605830e-02,6.81494495e-02
101,5.90651827e-05,-3.00020424e-06,7.07213942e-02,6.82601265e-02
102,5.90877178e-05,-2.99987272e-06,7.03668474e-02,6.83630834e-02
103,5.91110426e-05,-2.99956130e-06,6.99998756e-02,6.84597966e-02
104,5.91349683e-05,-2.99926518e-06,6.96234498e-02,6.85517594e-02
105,5.91593042e-05,-2.99897951e-06,6.92405701e-02,6.86404774e-02
106,5.91838584e-05,-2.99869941e-06,6.88542570e-02,6.87274641e-02
107,5.92084381e-05,-2.99842000e-06,6.84675414e-02,6.88142365e-02
108,5.92328507e-05,-2.99813641e-06,6.80834559e-02,6.89023099e-02
109,5.92569039e-05,-2.99784376e-06,6.77050246e-02,6.89931933e-02
110,5.92804067e-05,-2.99753725e-06,6.73352532e-02,6.90883844e-02
111,5.93031697e-05,-2.99721209e-06,6.69771193e-02,6.91893646e-02
112,5.93250063e-05,-2.99686359e-06,6.66335624e-02,6.92975942e-02
113,5.93457326e-05,-2.99648713e-06,6.63074736e-02,6.94145073e-02
114,5.93651685e-05,-2.99607819e-06,6.60016858e-02,6.95415068e-02
115,5.93831384e-05,-2.99563237e-06,6.57189636e-02,6.96799594e-02
116,5.93994715e-05,-2.99514541e-06,6.54619935e-02,6.98311909e-02
117,5.94140026e-05,-2.99461317e-06,6.52333743e-02,6.99964813e-02
118,5.94265727e-05,-2.99403171e-06,6.50356074e-02,7.01770602e-02
119,5.94370296e-05,-2.99339723e-06,6.48710876e-02,7.03741022e-02
120,5.94452285e-05,-2.99270615e-06,6.47420947e-02,7.05887226e-02
121,5.94510322e-05,-2.99195509e-06,6.46507842e-02,7.08219732e-02
122,5.94543122e-05,-2.99114086e-06,6.45991799e-02,7.10748385e-02
123,5.94549487e-05,-2.99026053e-06,6.45891660e-02,7.13482317e-02
124,5.94528312e-05,-2.98931141e-06,6.46224799e-02,7.16429916e-02
125,5.94478591e-05,-2.98829103e-06,6.47007061e-02,7.19598793e-02
126,5.94399418e-05,-2.98719720e-06,6.48252698e-02,7.22995755e-02
127,5.94289991e-05,-2.98602801e-06,6.49974322e-02,7.26626777e-02
128,5.94149617e-05,-2.98478181e-06,6.52182856e-02,7.30496987e-02
