t,ke,pe,ke_err,pe_err
0,6.35602523e-05,-3.22000198e-06,0.00000000e+00,0.00000000e+00
1,6.35602467e-05,-3.22000183e-06,8.85273498e-08,4.79184624e-08
2,6.35602280e-05,-3.22000134e-06,3.82762391e-07,1.98693712e-07
3,6.35601964e-05,-3.22000053e-06,8.80922742e-07,4.51434529e-07
4,6.35601519e-05,-3.21999939e-06,1.58005588e-06,8.04664605e-07
5,6.35600950e-05,-3.21999793e-06,2.47613817e-06,1.25637206e-06
6,6.35600258e-05,-3.21999617e-06,3.56418937e-06,1.80406669e-06
7,6.35599448e-05,-3.21999411e-06,4.83838749e-06,2.44483744e-06
8,6.35598524e-05,-3.21999176e-06,6.29217274e-06,3.17540431e-06
9,6.35597491e-05,-3.21998913e-06,7.91833479e-06,3.99216205e-06
10,6.35596352e-05,-3.21998623e-06,9.70908213e-06,4.89121478e-06
11,6.35595115e-05,-3.21998308e-06,1.16560956e-05,5.86840282e-06
12,6.35593784e-05,-3.21997970e-06,1.37505698e-05,6.91932335e-06
13,6.35592364e-05,-3.21997609e-06,1.59832468e-05,8.03934726e-06
14,6.35590864e-05,-3.21997228e-06,1.83444448e-05,9.22363354e-06
15,6.35589288e-05,-3.21996828e-06,2.08240859e-05,1.04671431e-05
16,6.35587643e-05,-3.21996410e-06,2.34117234e-05,1.17646523e-05
17,6.35585936e-05,-3.21995976e-06,2.60965712e-05,1.31107681e-05
18,6.35584175e-05,-3.21995529e-06,2.88675348e-05,1.44999430e-05
19,6.35582366e-05,-3.21995070e-06,3.17132453e-05,1.59264925e-05
20,6.35580518e-05,-3.21994600e-06,3.46220954e-05,1.73846126e-05
21,6.35578636e-05,-3.21994122e-06,3.75822776e-05,1.88683995e-05
22,6.35576730e-05,-3.21993638e-06,4.05818248e-05,2.03718694e-05
23,6.35574806e-05,-3.21993150e-06,4.36086518e-05,2.18889796e-05
24,6.35572872e-05,-3.21992659e-06,4.66505991e-05,2.34136501e-05
25,6.35570937e-05,-3.21992167e-06,4.96954770e-05,2.49397859e-05
26,6.35569007e-05,-3.21991677e-06,5.27311108e-05,2.64612994e-05
27,6.35567092e-05,-3.21991191e-06,5.57453865e-05,2.79721335e-05
28,6.35565197e-05,-3.21990710e-06,5.87262963e-05,2.94662842e-05
29,6.35563331e-05,-3.21990236e-06,6.16619844e-05,3.09378233e-05
30,6.35561501e-05,-3.21989771e-06,6.45407926e-05,3.23809215e-05
31,6.35559715e-05,-3.21989318e-06,6.73513046e-05,3.37898706e-05
32,6.35557979e-05,-3.21988877e-06,7.00823903e-05,3.51591054e-05
33,6.35556300e-05,-3.21988450e-06,7.27232489e-05,3.64832252e-05
34,6.35554686e-05,-3.21988040e-06,7.52634506e-05,3.77570151e-05
35,6.35553142e-05,-3.21987648e-06,7.76929770e-05,3.89754656e-05
36,6.35551674e-05,-3.21987275e-06,8.00022603e-05,4.01337928e-05
37,6.35550288e-05,-3.21986923e-06,8.21822200e-05,4.12274563e-05
38,6.35548990e-05,-3.21986593e-06,8.42242990e-05,4.22521773e-05
39,6.35547785e-05,-3.21986286e-06,8.61204960e-05,4.32039552e-05
40,6.35546677e-05,-3.21986005e-06,8.78633973e-05,4.40790830e-05
